Time (s),SwitchedCurrent,AveragedCurrent,LinearizedCurrent,SwitchedVoltage,AveragedVoltage,LinearizedVoltage
0,0,0,0,0,0,0
0.000001,0.333314861326198,3.66496762673016E-05,3.66496762673114E-05,0.016610788612161,1.21863147324585E-06,1.21863147324641E-06
3.36547236151766E-06,1.12112425002651,0.000414958060732757,0.000414958088600457,0.186614803542695,4.61689821611291E-05,4.61689839130987E-05
6.82028540339062E-06,2.2676566601372,0.00170235200199184,0.00170235147250452,0.75696840165704,0.000380720845159609,0.000380720798076589
1.00220395797285E-05,3.32252551139886,0.0036700992913713,0.00367009876344232,1.61499377516883,0.00119740377009569,0.00119740355785348
1.00220395797289E-05,3.32252551139899,0.00367009929137158,0.00367009876344259,1.61499377516895,0.00119740377009582,0.00119740355785362
1.72255413249533E-05,0.862827863062627,0.0107827847616128,0.0107827846792802,2.9487823611173,0.00595293337307744,0.00595293290550541
1.99999999999994E-05,-0.08958011133338,0.0144951812016336,0.0144951811266912,2.97328952416135,0.00923867544494914,0.0092386749682718
0.00002,-0.0895801113335754,0.0144951812016345,0.0144951811266921,2.97328952416133,0.00923867544494991,0.00923867496827257
2.77442729709604E-05,-2.73531516574843,0.0276205113230325,0.0276205112606737,1.68436708242069,0.0240569912694884,0.0240569907772107
2.99341722872539E-05,-3.47508165198449,0.0320466098113376,0.0320466096331684,0.974897824702972,0.0299939639637829,0.0299939634585409
2.99341722872549E-05,-3.47508165198484,0.0320466098113398,0.0320466096331705,0.974897824702607,0.0299939639637859,0.0299939634585439
3.99999999999989E-05,-0.112534902378325,0.0561980380259648,0.056198037866903,-0.81392630872913,0.0690803728840167,0.0690803722655447
0.00004,-0.112534902377942,0.0561980380259678,0.0561980378669061,-0.813926308729134,0.0690803728840223,0.0690803722655503
5.01101935194272E-05,3.26668580055789,0.086217478182787,0.0862174790571399,0.81264739033521,0.13072230031888,0.130722299861601
5.01101935194286E-05,3.26668580055837,0.0862174781827917,0.0862174790571446,0.812647390335672,0.130722300318891,0.130722299861611
5.99999999999983E-05,-0.0892346206158288,0.120387626865773,0.120387623608384,2.20969331701237,0.215612600123639,0.215612599213261
0.00006,-0.0892346206164105,0.12038762686578,0.12038762360839,2.20969331701231,0.215612600123656,0.215612599213278
6.98464120434195E-05,-3.42144293304673,0.158290571660038,0.158290568484924,0.325922303491782,0.326078483700425,0.326078479852598
6.98464120434215E-05,-3.42144293304741,0.158290571660046,0.158290568484932,0.32592230349108,0.326078483700451,0.326078479852624
7.99999999999977E-05,-0.00952625632143048,0.200512077589944,0.200512077073758,-1.33849927607224,0.467936316900238,0.467936311165353
0.00008,-0.00952625632066129,0.200512077589954,0.200512077073767,-1.33849927607221,0.467936316900273,0.467936311165388
9.01983299430059E-05,3.41395535859926,0.245162928245945,0.245162927923082,0.474940975976985,0.638846359614604,0.638846354031025
9.01983299430085E-05,3.41395535860013,0.245162928245957,0.245162927923094,0.47494097597787,0.638846359614652,0.638846354031072
9.99999999999972E-05,0.0962405699951175,0.289308066733243,0.28930807033035,2.04794072548221,0.828983208694503,0.828983204572215
0.0001,0.0962405699941495,0.289308066733256,0.289308070330363,2.04794072548218,0.828983208694562,0.828983204572273
0.000109758675893645,-3.20448071161379,0.333648731730508,0.333648733049269,0.383342393047944,1.04184366448943,1.04184366343017
0.000109758675893648,-3.20448071161485,0.333648731730523,0.333648733049283,0.383342393046916,1.0418436644895,1.04184366343025
0.000119999999999997,0.231564419629674,0.379800591023991,0.379800592353349,-1.07641299611317,1.28812147151089,1.28812147184758
0.00012,0.231564419630824,0.379800591024007,0.379800592353364,-1.07641299611305,1.28812147151098,1.28812147184767
0.000130286434840551,3.67167659762101,0.425017684915244,0.425017686204432,0.971195578011326,1.55606458707359,1.55606458880144
0.000130286434840554,3.67167659762227,0.425017684915261,0.425017686204448,0.971195578012682,1.55606458707369,1.55606458880154
0.000139999999999996,0.36478505449168,0.466085076230257,0.466085075695054,2.72910272403039,1.82490751994235,1.82490752185017
0.00014,0.364785054490316,0.466085076230273,0.46608507569507,2.72910272403043,1.82490751994246,1.82490752185028
0.000149670977601596,-2.93144445082593,0.504946227121702,0.504946226536784,1.26632432863541,2.10469607245818,2.10469607367178
0.0001496709776016,-2.9314444508274,0.504946227121719,0.5049462265368,1.26632432863408,2.10469607245831,2.10469607367191
0.000159999999999995,0.500756501060541,0.543838688654078,0.543838688987157,-0.0252373324635762,2.41332576705246,2.41332576775544
0.00016,0.500756501062059,0.543838688654094,0.543838688987173,-0.025237332463347,2.4133257670526,2.41332576775558
0.000170374494207257,3.93096274944997,0.579907208327481,0.579907212127264,2.19648788306114,2.72976359203835,2.72976359416372
0.000170374494207262,3.93096274945156,0.579907208327498,0.57990721212728,2.19648788306295,2.7297635920385,2.72976359416387
0.000179999999999995,0.613068609431443,0.610548338086754,0.610548341761579,4.06002550516348,3.02592211667294,3.02592212203993
0.00018,0.613068609429666,0.61054833808677,0.610548341761594,4.06002550516358,3.0259221166731,3.02592212204009
0.000189583330925118,-2.69758740866108,0.638322000064409,0.63832200719137,2.70901740680263,3.32044602357837,3.32044603292126
0.000189583330925124,-2.69758740866294,0.638322000064424,0.638322007191384,2.70901740680102,3.32044602357854,3.32044603292143
0.000199999999999994,0.712475409137359,0.665480324745766,0.665480328949015,1.48495211379307,3.63735205633321,3.6373520703575
0.0002,0.712475409139228,0.66548032474578,0.665480328949029,1.48495211379339,3.63735205633338,3.63735207035767
0.000210462494045702,4.11791690425882,0.689743455622788,0.689743459286523,3.77296393119856,3.94959974326021,3.94959975980127
